"seqname","accession","tax_id","species_name","is_type"
"S004462350_Campylobacter_jejuni_CJM1cam_CP012149","","197","Campylobacter jejuni","FALSE"
"S004462351_Campylobacter_jejuni_CJM1cam_CP012149","","197","Campylobacter jejuni","FALSE"
"S004462935_Campylobacter_jejuni_subsp._jejuni_RM3197_CP012689","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004493347_Campylobacter_jejuni_ERUVET-1_KT225279","","197","Campylobacter jejuni","FALSE"
"S004493351_Campylobacter_jejuni_ERUVET-5_KT225283","","197","Campylobacter jejuni","FALSE"
"S004493356_Campylobacter_jejuni_ERUVET-10_KT225288","","197","Campylobacter jejuni","FALSE"
"S004493357_Campylobacter_jejuni_ERUVET-11_KT225289","","197","Campylobacter jejuni","FALSE"
"S004498697_Campylobacter_jejuni_D15_KT767763","","197","Campylobacter jejuni","FALSE"
"S004498703_Campylobacter_jejuni_D21_KT767769","","197","Campylobacter jejuni","FALSE"
"S004498708_Campylobacter_jejuni_D7_KT767774","","197","Campylobacter jejuni","FALSE"
"S004498768_Campylobacter_jejuni_D8_KT767834","","197","Campylobacter jejuni","FALSE"
"S000000637_Shigella_dysenteriae_X80680","","622","","FALSE"
"S000000986_Escherichia_coli_PK3_X80731","","562","Escherichia coli","FALSE"
"S000003908_Escherichia_coli_Z83205","","562","Escherichia coli","FALSE"
"S000004313_Escherichia_Shigella_coli__ATCC_11775T_X80725","","562","Escherichia coli","FALSE"
"S000369294_Escherichia_coli_O157_H7_AY513502","","83334","Escherichia coli O157_H7","FALSE"
"S000383105_Escherichia_coli_O157_H7_RIMD0509952_AB035922","","83334","Escherichia coli O157_H7","FALSE"
"S000383107_Escherichia_coli_O157_H7_RIMD0509952_AB035923","","83334","Escherichia coli O157_H7","FALSE"
"S000495520_Escherichia_coli_O157_H7_RIMD_0509952_AB035920","","83334","Escherichia coli O157_H7","FALSE"
"S000711309_Escherichia_coli_O157_H7_WAB1892_AM184233","","83334","Escherichia coli O157_H7","FALSE"
"S001187404_Escherichia_coli_O157_H7_str._EC4115_CP001164","","444450","Escherichia coli O157_H7 str. EC4115","FALSE"
"S001244354_Escherichia_coli_O127_H6_str._E2348_69_FM180568","","574521","Escherichia coli O127_H6 str. E2348_69","FALSE"
"S001587736_Escherichia_coli_O26_H11_str._11368_AP010953","","573235","Escherichia coli O26_H11 str. 11368","FALSE"
"S001587750_Escherichia_coli_O103_H2_str._12009_AP010958","","585395","Escherichia coli O103_H2 str. 12009","FALSE"
"S001587764_Escherichia_coli_O111_H-_str._11128_AP010960","","585396","Escherichia coli O111_H- str. 11128","FALSE"
"S001795873_Escherichia_coli_O111_H-_GU237022","","585396","Escherichia coli O111_H- str. 11129","FALSE"
"S002222274_Escherichia_coli_ETEC_H10407_FN649414","","316401","Escherichia coli ETEC H10407","FALSE"
"S002225117_Escherichia_coli_O157_H7_33_HM007589","","83334","Escherichia coli O157_H7","FALSE"
"S002949423_Escherichia_coli_O124_H-_#526_AB604192","","935868","Escherichia coli O124_H-","FALSE"
"S002949426_Escherichia_coli_O136_H-_#2938_AB604195","","577668","Escherichia coli O136_H-","FALSE"
"S002949428_Escherichia_coli_O169_H-_No22_AB604197","","935869","Escherichia coli O169_H-","FALSE"
"S002949429_Escherichia_coli_O28ac_H-_#989_AB604198","","935870","Escherichia coli O28ac_H-","FALSE"
"S002949947_Shigella_flexneri_2a_str._301_AE005674","","198214","Shigella flexneri 2a str. 301","FALSE"
"S002968071_Escherichia_coli_O7_K1_str._CE10_CP003034","","1072459","Escherichia coli O7_K1 str. CE10","FALSE"
"S002989210_Escherichia_coli_O157_H7_HQ658163","","83334","Escherichia coli O157_H7","FALSE"
"S003880666_Escherichia_coli_O145_H28_str._RM13514_CP006027","","1248902","Escherichia coli O145_H28 str. RM13514","FALSE"
"S004062442_Escherichia_coli_O104_H4_str._2011C-3493_CP003289","","1133852","Escherichia coli O104_H4 str. 2011C-3493","FALSE"
"S004065089_Escherichia_coli_O83_H1_str._NRG_857C_CP001855","","685038","Escherichia coli O83_H1 str. NRG 857C","FALSE"
"S004067823_Escherichia_coli_O104_H4_str._2009EL-2050_CP003297","","1134782","Escherichia coli O104_H4 str. 2009EL-2050","FALSE"
"S004069616_Escherichia_coli_O157_H7_str._TW14588_CM000662","","502346","Escherichia coli O157_H7 str. TW14588","FALSE"
"S004069783_Escherichia_coli_Nissle_1917_CP007799","","316435","Escherichia coli Nissle 1917","FALSE"
"S004070786_Escherichia_coli_O145_H28_str._RM12761_CP007133","","1248903","Escherichia coli O145_H28 str. RM12761","FALSE"
"S004071789_Escherichia_coli_O157_H7_str._SS17_CP008805","","1328859","Escherichia coli O157_H7 str. SS17","FALSE"
"S004445663_Escherichia_coli_O157_H7_str._SS52_CP010304","","1330457","Escherichia coli O157_H7 str. SS52","FALSE"
"S004460312_Escherichia_coli_Nissle_1917_CP007799","","316435","Escherichia coli Nissle 1917","FALSE"
"S004461339_Escherichia_coli_O104_H4_str._C227-11_CP011331","","1048254","Escherichia coli O104_H4 str. C227-11","FALSE"
"S004463014_Escherichia_coli_O157_H7_WS4202_CP012802","","83334","Escherichia coli O157_H7","FALSE"
"S000389576_Salmonella_enterica_subsp._enterica_serovar_Montevideo_47074_AF227867","","115981","Salmonella enterica subsp. enterica serovar Montevideo","FALSE"
"S000389577_Salmonella_enterica_subsp._enterica_serovar_Dublin_57920_AF227868","","98360","Salmonella enterica subsp. enterica serovar Dublin","FALSE"
"S000389578_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_65946_AF227869","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S000640788_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DQ344533","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S000926446_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_ATCC_13311_EU014686","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S001550307_Salmonella_enterica_subsp._enterica_serovar_Dublin_DSPV_595T_FJ997268","","98360","Salmonella enterica subsp. enterica serovar Dublin","FALSE"
"S001611419_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580_FN424405","","568708","Salmonella enterica subsp. enterica serovar Typhimurium str. D23580","FALSE"
"S001743285_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._14028S_CP001363","","588858","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","FALSE"
"S002222789_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344_FQ312003","","216597","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","FALSE"
"S002225109_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_5275_HM007581","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S002289720_Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853_CP001144","","439851","Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853","FALSE"
"S002290301_Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL254_CP001113","","423368","Salmonella enterica subsp. enterica serovar Newport str. SL254","FALSE"
"S002291174_Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483_CP001138","","454166","Salmonella enterica subsp. enterica serovar Agona str. SL483","FALSE"
"S002917686_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_ST2_JN254642","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S002966077_Salmonella_enterica_subsp._enterica_serovar_Agona_SA5_JQ228522","","1003189","Salmonella enterica subsp. enterica serovar Agona str. SA-5","FALSE"
"S002966079_Salmonella_enterica_subsp._enterica_serovar_Montevideo_SM7_JQ228524","","115981","Salmonella enterica subsp. enterica serovar Montevideo","FALSE"
"S002966080_Salmonella_enterica_subsp._enterica_serovar_Newport_SN8_JQ228525","","108619","Salmonella enterica subsp. enterica serovar Newport","FALSE"
"S003277437_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._798_CP003386","","1008297","Salmonella enterica subsp. enterica serovar Typhimurium str. 798","FALSE"
"S003290450_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_Sty16_JQ284056","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S003298357_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_GDYJS2011-1_JQ867391","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S003612201_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_CUB_23_10_JN615013","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S003612763_Salmonella_enterica_subsp._enterica_serovar_Agona_312_JQ694192","","58095","Salmonella enterica subsp. enterica serovar Agona","FALSE"
"S003612764_Salmonella_enterica_subsp._enterica_serovar_Agona_313_JQ694193","","58095","Salmonella enterica subsp. enterica serovar Agona","FALSE"
"S003612791_Salmonella_enterica_subsp._enterica_serovar_Meleagridis_357_JQ694435","","486999","Salmonella enterica subsp. enterica serovar Meleagridis","FALSE"
"S003612792_Salmonella_enterica_subsp._enterica_serovar_Meleagridis_395_JQ694436","","486999","Salmonella enterica subsp. enterica serovar Meleagridis","FALSE"
"S003612793_Salmonella_enterica_subsp._enterica_serovar_Montevideo_358_JQ694463","","115981","Salmonella enterica subsp. enterica serovar Montevideo","FALSE"
"S003612794_Salmonella_enterica_subsp._enterica_serovar_Montevideo_359_JQ694464","","115981","Salmonella enterica subsp. enterica serovar Montevideo","FALSE"
"S003612795_Salmonella_enterica_subsp._enterica_serovar_Newport_198_JQ694485","","108619","Salmonella enterica subsp. enterica serovar Newport","FALSE"
"S003612796_Salmonella_enterica_subsp._enterica_serovar_Newport_362_JQ694486","","108619","Salmonella enterica subsp. enterica serovar Newport","FALSE"
"S003612817_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_388_JQ694620","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
